Reference, Quantity, Value, Footprint, Datasheet, LCSC, MPN, Manufacturer, Supplier, URL
C1 ,1,"10n 50V","agro-footprint:CAP_0805","https://datasheet.lcsc.com/lcsc/2005262134_YAGEO-CC0805JKNPO9BN103_C527201.pdf","C527201","CC0805JKNPO9BN103","Yageo","",""
C12 ,1,"10u 10V","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","https://datasheet.lcsc.com/lcsc/2011031906_KEMET-T529P106M010AAE200_C696821.pdf","C696821","T529P106M010AAE200","KEMET","",""
C2 C4 ,2,"22p","agro-footprint:CAP_0805","https://datasheet.lcsc.com/lcsc/2006151142_YAGEO-CC0805FRNPO9BN220_C541515.pdf","C541515","CC0805FRNPO9BN220","Yageo","",""
C3 ,1,"47u","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","","","","","Árwill","https://arwill.hu/termekek/passziv-alkatreszek/kondenzatorok/elektrolit-85c-105c/47uf-50v-elektrolit-kondenzator-974067/"
C5 ,1,"10u","agro-footprint:CAP_0805","https://datasheet.lcsc.com/lcsc/1810311438_YAGEO-CC0805ZKY5V6BB106_C88484.pdf","C88484","CC0805ZKY5V6BB106","Yageo","",""
C6 C7 C10 C11 ,4,"100n","agro-footprint:CAP_0805","https://datasheet.lcsc.com/lcsc/2006011836_YAGEO-CC0805GRNPO9BN220_C520058.pdf","C520058","CC0805GRNPO9BN220","Yageo","",""
C8 ,1,"470u","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","","","","","Árwill","https://arwill.hu/termekek/passziv-alkatreszek/kondenzatorok/elektrolit-85c-105c/470uf-16v-elektrolit-kondenzator-229671/"
C9 ,1,"100u","Capacitor_SMD:C_1206_3216Metric","https://datasheet.lcsc.com/lcsc/2006191032_YAGEO-CC1206MKX5R5BB107_C110048.pdf","C110048","CC1206MKX5R5BB107","Yageo","",""
D1 ,1,"SMCJ36CA","Diode_SMD:D_SMC","https://datasheet.lcsc.com/lcsc/2110190930_BOURNS-SMCJ36CA_C2831485.pdf","C2831485","SMCJ36CA","Bourns","",""
D2 ,1,"BZX84C10L","Diode_SMD:D_SOT-23_ANK","https://datasheet.lcsc.com/lcsc/1810301517_onsemi-BZX84C10LT1G_C82476.pdf","C82476","BZX84C10LT1G","onsemi","",""
D3 D5 ,2,"BZT52C3V3LP","Package_DFN_QFN:Diodes_DFN1006-3","https://datasheet.lcsc.com/lcsc/1804250225_Diodes-Incorporated-BZT52C3V3LP-7_C150478.pdf","C150478","BZT52C3V3LP-7","Diodes Incorporated","",""
D4 ,1,"BZX84C6V8L","Diode_SMD:D_SOT-23_ANK","https://datasheet.lcsc.com/lcsc/1810301513_onsemi-BZX84C6V8LT1G_C90848.pdf","C90848","BZX84C6V8LT1G","onsemi","",""
D6 ,1,"RB160M","Diode_SMD:D_SOD-123","https://datasheet.lcsc.com/lcsc/1810131621_ROHM-Semicon-RB160M-40TR_C123003.pdf","C123003","RB160MM-40TR","Rohm Semiconductor","",""
D7 ,1,"MBRS140","Diode_SMD:D_SMB","https://datasheet.lcsc.com/lcsc/1809192234_onsemi-MBRS140T3G_C133091.pdf","C133091","MBRS140T3G","onsemi","",""
D8 ,1,"LED","agro-footprint:LED_0805","https://datasheet.lcsc.com/lcsc/1811131731_Everlight-Elec-17-215-BHC-AP1Q2-3T_C131208.pdf","C131208","17-215/BHC-AP1Q2/3T","Everlight Elec","",""
J1 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","https://datasheet.lcsc.com/lcsc/1811131824_MOLEX-1050170001_C136000.pdf","C136000","1050170001","Molex","",""
J2 ,1,"Barrel_Jack_Switch","fanControl:BarrelJack_Wuerth_6941xx301002","","","","","Árwill","https://arwill.hu/termekek/csatlakozok/tap/dc/dc-tap-aljzat-5-5-2-1-586196/"
L1 ,1,"470u","Inductor_THT:L_Radial_D10.5mm_P5.00mm_Abacron_AISR-01","","","","","Árwill","https://arwill.hu/termekek/passziv-alkatreszek/induktivitasok/radialis/470uh-1-2a-induktivitas-659003/"
